id,name,rating,price level
r9UEYY-nO-jQnqe_TUBPpA,Lebowski's Grill,4.5, 
r7lqPcx9h9hluN_YLsFsew,360 UNO,4.0, 
r0LLzy0DYJz02Nc4XCg7rw,Clark's Oyster Bar,4.0, 
qtDrM9u5-7_v4eblzdFCHw,Modern Market,3.0,$
qq68YK870061xe3g45NJbg,Four Brothers,4.0,$$
qkpTiGcJbkNKgmCj4rmkkQ,Bouldin Creek Cafe,4.5,$$
qg_toF422FIE6lm7rvRMzA,Que Divino,5.0, 
qa3X0_E7qm9EsWp_FPahUA,Pizza Patrón,3.5, 
qVFyL4xHfKuZIXc5U4xlRA,USA HALAL,4.5, 
qUfoMy3P1I5X7pUZeTmNpQ,ATX Grill RH,5.0,$$
qUCk1-VQqo6o7F1jhqAbDA,Tropicana Cuban Restaurant,4.0, 
qU7elDB7uNRr6nKYcaAPOA,Sap's Ver Fine Thai Cuisine,4.0,$$
qR-kjkED4bnRSSMeg5k1gg,Elizabeth Street Cafe,3.5, 
qJiCmnKKuh2SjRZehpHHFA,Drop Kick,4.0, 
q9Uhx0oKyj7TRJlDOjxxAQ,J’s Hibachi,4.0,$$
q1C3m4ssFeN401uAgL1O6A,The Pizza Press,4.0,$
pyJSpDrsH2oGGSk54qjADw,Far East Far West,5.0,$$
pxuYf1niSo7IvJOUmbC1_A,Asadas Grill,3.5,$
puse310xumoKI0WMHNXnRA,T-Loc's Sonora Hot Dogs,5.0,$$
pp73b2zGEwRbwSgYYvB2Dg,Z'Tejas - Austin 6 STREET,3.5,$$
pUhC07EEeiH6fnrbWsF8nw,Square Peg Coffee Company,5.0,$$
pS_RoFsMCMFvoFMSSCJR9w,Salt Traders Zilker,4.5, 
pKzDY9JbmbeOMCkIFcrzYQ,Frazier's Long and Low,4.0, 
pKXtSuabMA63tYCk1UMR-g,Turf N Surf Po' Boy,4.5, 
pCNH6bRbyAR7vhaIKoFCxQ,Titaya's Thai Cuisine,4.0, 
pCIdgI3QYpzgrtLAmDemuA,Truluck's Ocean's Finest Seafood & Crab,4.5, 
pATn0K6yFj-_F4pjc9qnjQ,Texas Honey Ham Company,4.5, 
p6Mbi0-qa6mYPCJsym-e6A,Roots Chicken Shak,4.5, 
oug5bLTWP_YTtj1C3_X6Xw,Gourdough's Public House,4.0, 
omYnPPhlXZTCoQ_TcSzsyg,First Watch,4.0, 
okamtsdTV_8ZgDbLtOSr9A,TLC Austin,4.0,$$
ojt2cP-Pr8mSg_6ACxpzsQ,Renuka’s Kitchen,5.0,$$
ojHIGVvaz3koIzgnrCb21Q,ASTI Trattoria,3.5,$$
oiIN2f4xmqNH_cBvtONnjg,Pelonchas Tacos,5.0,$$
oW9b_NLLTY_vrg-y3EoE4g,Tarka Indian Kitchen,4.0,$$
oQJ9wsF_8DX5VzFc5kFWVw,Char Atx,5.0,$
oJv7jdgz1jEZaLB_HR2C_g,Maudie’s Milagro,3.5, 
