id,name,is closed,rating,review count,categories,address,coordinates,transaction types,price level,Categories_merged,Latitude,Longitude,Address_mod,Zipcode,Delivery,Pickup,Reservation,Rating_stndized,Review count_stndized
wQ8XK2NJAL2csx_LmZfz4g,Eldorado Cafe,False,4.5,704,Comfort Food,"['3300 W Anderson Ln', 'Austin, TX 78757']","{'latitude': 30.362224, 'longitude': -97.7423571527181}",['delivery'],$$,food delivery services/groceries/venues/cafeterias,30.362224,-97.7423571527181,"'3300 W Anderson Ln', 'Austin, TX 78757'",78757,1,0,0,0.8936113259920925,0.47925792202384904
wKQNqpvphl0zGCv9JuIN8Q,J Carver’s,False,4.5,114,Steakhouses,"['509 Rio Grande St', 'Austin, TX 78701']","{'latitude': 30.26952488348901, 'longitude': -97.74944737360416}",['delivery'],$,American,30.26952488348901,-97.74944737360416,"'509 Rio Grande St', 'Austin, TX 78701'",78701,1,0,0,0.8936113259920925,-0.49072159989764447
wHH-CWCKj76FdUPM_coAuA,The backYard at Waller Creek,False,3.5,24,Food Trucks,"['701 E 11th St', 'Austin, TX 78701']","{'latitude': 30.270172, 'longitude': -97.734031}",['delivery'],$$$,Food Trucks/Food Stands,30.270172,-97.734031,"'701 E 11th St', 'Austin, TX 78701'",78701,1,0,0,-1.3268774234428045,-0.6386845778178722
wGlL-0yFqyo8xaKfEVUbpg,Smokin Banh Mi,False,4.5,46,Food Trucks,"['3901 Promontory Point Dr', 'Austin, TX 78744']","{'latitude': 30.20893, 'longitude': -97.72937}","['pickup', 'delivery']",$,Food Trucks/Food Stands,30.20893,-97.72937,"'3901 Promontory Point Dr', 'Austin, TX 78744'",78744,1,1,0,0.8936113259920925,-0.6025158498818166
wEjTBa2bJDG5CRiJ5Qdrmw,Central Market Cafe,False,3.5,72,American (Traditional),"['4001 N Lamar Blvd', 'Austin, TX 78756']","{'latitude': 30.3070357135405, 'longitude': -97.7399721729469}",['delivery'],$$,American,30.3070357135405,-97.7399721729469,"'4001 N Lamar Blvd', 'Austin, TX 78756'",78756,1,0,0,-1.3268774234428045,-0.5597709895937508
wB1qckz9iC0aq5XuWRmCIA,Jewboy Burgers,False,4.5,1042,Burgers,"['5111 Airport Blvd', 'Austin, TX 78751']","{'latitude': 30.3127408, 'longitude': -97.71508227214271}",['delivery'],$$,American,30.3127408,-97.71508227214271,"'5111 Airport Blvd', 'Austin, TX 78751'",78751,1,0,0,0.8936113259920925,1.0349411057687048
wApAjLkqBJ5sehzPovtEyQ,Heo Eatery,False,4.5,378,Vietnamese,"['6929 Airport Blvd', 'Ste 132', 'Austin, TX 78752']","{'latitude': 30.33710409555861, 'longitude': -97.71671950498627}",['delivery'],$$,Asian,30.33710409555861,-97.71671950498627,"'6929 Airport Blvd', 'Ste 132', 'Austin, TX 78752'",78752,1,0,0,0.8936113259920925,-0.05669686466497618
w89ay2pZDTd-3cJsRlx22Q,SquareRüt Kava Bar,False,4.0,33,Lounges,"['5000 N Lamar Blvd', 'Austin, TX 78756']","{'latitude': 30.31866, 'longitude': -97.73144}",['delivery'],$$,Bars/Pubs,30.31866,-97.73144,"'5000 N Lamar Blvd', 'Austin, TX 78756'",78756,1,0,0,-0.216633048725356,-0.6238882800258495
w4W4RMx3BkDWQ9IagXAGSg,Lefty's Brick Bar,False,3.5,60,Bars,"['1813 E 6th St', 'Austin, TX 78702']","{'latitude': 30.26178360727735, 'longitude': -97.72313334577574}",[],$$,Bars/Pubs,30.26178360727735,-97.72313334577574,"'1813 E 6th St', 'Austin, TX 78702'",78702,0,0,0,-1.3268774234428045,-0.5794993866497812
vyb9Ud7CT1F2kDtFOuTlVw,Fresa's Chicken al Carbon,False,3.5,445,Mexican,"['915 N Lamar Blvd', 'Austin, TX 78703']","{'latitude': 30.27446, 'longitude': -97.75216}","['pickup', 'delivery']",$$,Mexican/South American,30.27446,-97.75216,"'915 N Lamar Blvd', 'Austin, TX 78703'",78703,1,1,0,-1.3268774234428045,0.05345335223119343
